"Plot","PFT","Year","ABGbiomass_gCperm2","ABGbiomass_gNperm2","ABGbiomass_gPperm2","ABGnpp_gCperm2peryear","ABGnpp_gNperm2peryear","ABGnpp_gPperm2peryear","Pretrt_ABGbiomass_gCperm2","Pretrt_ABGbiomass_gNperm2","Pretrt_ABGbiomass_gPperm2","Pretrt_ABGnpp_gCperm2peryear","Pretrt_ABGnpp_gNperm2peryear","Pretrt_ABGnpp_gPperm2peryear"
19,"deciduous conifer",2017,4.497,0.115,0.005,1.151,0.027,0.002,2.643,0.067,0.004,0.728,0.014,0.002
19,"deciduous conifer",2018,4.596,0.117,0.005,0.476,0.008,0.001,2.643,0.067,0.004,0.728,0.014,0.002
19,"deciduous conifer",2019,5.029,0.128,0.006,0.804,0.017,0.002,2.643,0.067,0.004,0.728,0.014,0.002
19,"deciduous conifer",2020,4.466,0.126,0.007,0.464,0.008,0.003,2.643,0.067,0.004,0.728,0.014,0.002
19,"deciduous conifer",2021,5.244,0.14,0.007,0.779,0.019,0.003,2.643,0.067,0.004,0.728,0.014,0.002
19,"deciduous tree",2016,0,0,0,0,0,0,0,0,0,0,0,0
19,"deciduous tree",2017,0,0,0,0,0,0,0,0,0,0,0,0
19,"deciduous tree",2018,0,0,0,0,0,0,0,0,0,0,0,0
19,"deciduous tree",2019,0,0,0,0,0,0,0,0,0,0,0,0
19,"deciduous tree",2020,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
19,"deciduous tree",2021,0,0,0,0,0,0,0,0,0,0,0,0
19,"evergreen conifer",2016,1720.141,23.166,2.083,144.918,1.878,0.23,1551.755,21.056,1.892,196.081,2.571,0.272
19,"evergreen conifer",2017,2014.034,23.081,1.836,216.112,2.475,0.252,1551.755,21.056,1.892,196.081,2.571,0.272
